1   Route_ID         I   4  
2   Route_Name       C   32 
3   Operator         I   4  
4   Company          I   4  
5   Mode             I   4  
6   AM_Headway       R   8  
7   OFF_Headway      R   8  
8   XferPen          R   8  
9   AMIWAIT          R   8  
10  OFF_IWAIT        R   8  
11  Time             R   8  
12  RFacLocal        R   8  
13  RFacPrem         R   8  
14  FareFac          R   8  
15  Fare             R   8  
16  Line_No          C   10 
17  ONSPEAK          R   8  
18  OFFSPEAK         R   8  
19  ONSOFFPK         R   8  
20  OFFSOFFPK        R   8  
21  ONSAM            R   8  
22  OFFSAM           R   8  
23  ONSPM            R   8  
24  OFFSPM           R   8  
